Overriding config with config/finetune_tt7_5k.py:
import time

out_dir = 'out-shakespeare-char-4l8h-ft'
eval_interval = 250
eval_iters = 200
log_inerval = 10

wandb_log = False # feel free to turn on
wandb_project = 'ft7_5k-char'
wandb_run_name = 'ft-' + str(time.time())

dataset = 'tt_7_5k'
init_from = 'resume' # this is the largest GPT-2 model

# only save checkpoints if the validation loss improves
always_save_checkpoint = True

# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 64
gradient_accumulation_steps = 1
max_iters = 7500
block_size = 256

# finetune at constant LR
learning_rate = 1e-3
lr_decay_iters = 7500

min_lr = 1e-4
beta2 = 0.99

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/tt_7_5k/meta.pkl)
Resuming training from out-shakespeare-char-4l8h-ft
number of parameters: 7.11M
num decayed parameter tensors: 18, with 7,201,152 parameters
num non-decayed parameter tensors: 9, with 3,456 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 2437: loss 1.3658, time 70.91ms, mfu 3.45%
iter 2438: loss 1.3644, time 71.44ms, mfu 3.45%
iter 2439: loss 1.3313, time 71.68ms, mfu 3.45%
iter 2440: loss 1.3404, time 72.74ms, mfu 3.45%
iter 2441: loss 1.3520, time 75.68ms, mfu 3.43%
iter 2442: loss 1.3673, time 71.41ms, mfu 3.44%
iter 2443: loss 1.3512, time 71.66ms, mfu 3.44%
iter 2444: loss 1.3567, time 70.11ms, mfu 3.45%
iter 2445: loss 1.3156, time 72.29ms, mfu 3.45%
iter 2446: loss 1.3381, time 72.21ms, mfu 3.45%
iter 2447: loss 1.3019, time 72.19ms, mfu 3.45%
iter 2448: loss 1.3586, time 73.98ms, mfu 3.44%
iter 2449: loss 1.3438, time 71.65ms, mfu 3.44%
iter 2450: loss 1.3560, time 73.24ms, mfu 3.44%
iter 2451: loss 1.3640, time 71.83ms, mfu 3.44%
iter 2452: loss 1.3435, time 73.55ms, mfu 3.44%
iter 2453: loss 1.3272, time 72.99ms, mfu 3.43%
iter 2454: loss 1.3145, time 72.03ms, mfu 3.43%
iter 2455: loss 1.3671, time 73.59ms, mfu 3.43%
iter 2456: loss 1.3283, time 71.59ms, mfu 3.43%
iter 2457: loss 1.3238, time 70.66ms, mfu 3.44%
iter 2458: loss 1.2931, time 72.04ms, mfu 3.44%
iter 2459: loss 1.3187, time 72.40ms, mfu 3.44%
iter 2460: loss 1.3254, time 71.38ms, mfu 3.45%
iter 2461: loss 1.3234, time 71.89ms, mfu 3.45%
iter 2462: loss 1.3188, time 74.11ms, mfu 3.44%
iter 2463: loss 1.3537, time 71.90ms, mfu 3.44%
iter 2464: loss 1.3410, time 73.35ms, mfu 3.44%
iter 2465: loss 1.3402, time 70.63ms, mfu 3.44%
iter 2466: loss 1.2752, time 71.54ms, mfu 3.45%
